engine_id,MAE
112,204.81852809890688
88,198.0254760156804
85,190.019682498168
118,187.7142632532581
255,187.33640600930295
31,186.47082325259697
158,171.17762921890142
128,167.7446662492745
260,167.63996759495637
94,166.9001387108839
257,166.39658499718163
156,165.47127454600002
51,164.92697836172306
135,164.48787126469065
153,163.49273195641828
105,162.75050313945934
149,161.6686466173102
180,161.17415139785373
64,159.03192750164118
81,158.48939485010348
103,156.83736662413486
131,156.65500453785194
32,156.08332269124207
148,155.9135601515775
203,153.73518811162327
2,152.65147390964052
11,151.7600729879641
106,150.76605424270804
41,150.25504570966783
124,150.17759529670317
251,149.7904482852285
239,149.77808596285283
240,149.76060712218163
242,149.3676997636905
146,148.94010691529044
254,147.51892331714538
228,146.06573052455192
84,145.95862138189437
190,145.61360103148147
181,145.41288423716284
127,145.0064719548829
171,144.89300619731782
245,144.4663173673177
164,142.08080781135936
12,141.91502171399395
145,141.68343856527133
134,140.9615499635624
76,140.2892194002745
91,140.02840835992671
47,139.1014403873796
236,138.90593324787258
232,138.48885865226356
218,137.35507236667203
196,136.95011555433513
159,136.73304419060213
248,136.60630288398616
157,136.5904212507485
204,136.33489023937335
73,135.5608628975522
113,134.5809311816925
4,134.32215153653374
220,134.1064129643971
167,134.05156587878787
75,133.68670358468856
216,132.6081237020055
48,132.52586816730522
243,132.42711333356067
161,132.26353338984933
13,131.74968090263437
104,131.65986321701084
144,131.10181359891345
200,130.89561525381308
123,130.7983498231605
155,130.07810898313403
50,128.9097547142815
215,128.8107316398764
80,128.43584228210312
42,128.19677145822388
109,127.26979679455087
191,127.17516772638581
199,127.0031575487703
168,126.98174451939897
206,126.9246940055277
223,126.57204415126766
110,126.00749919979683
150,125.3767832087046
39,125.07315804140315
100,124.8815294982852
140,124.80856431910527
101,124.65252433176106
61,124.21072656302756
237,123.631872029616
37,123.40472618520322
160,123.3263762784779
121,123.31899086160178
211,122.85451133798259
23,122.70340779503381
96,122.51064959412646
183,122.43021554052721
3,122.34945505258567
116,122.32488143010269
142,122.25847239819822
189,122.24003896704606
43,122.16714362506927
15,122.1087080409348
147,122.09684203783766
18,122.08763751816859
44,121.06736467786044
166,120.81634003710299
34,120.74751063331033
259,120.6552106032256
115,120.57880785770037
65,120.54022508854754
25,120.53621262485777
198,120.52036592714407
163,120.16710774387445
36,119.87551055084944
99,119.66953569813306
249,119.50617060249036
129,119.19221941275501
175,119.14103505790142
209,118.92571055855908
138,118.78501046245209
126,118.622128404376
28,118.6168314094755
182,118.60124095737078
9,118.38888426768904
82,118.38009686143488
205,118.06832974352874
111,117.92715160376285
54,117.65099393231843
46,117.20842864936601
114,116.92956483299469
202,116.83380613680754
222,116.65832052674654
72,116.40598774454557
247,116.37222727780463
162,115.84330266819785
71,115.70531277457346
22,115.64129925527958
246,115.50357649658497
35,115.38505768741402
139,115.30848310885325
95,115.27540043963845
154,115.09718818429728
40,114.98898622345274
14,114.94184369358592
174,114.72768677302422
213,114.65066385572779
186,114.40170388717834
33,114.01927011653713
195,113.93323095480967
201,113.6044641338248
21,113.23187128487423
59,113.19769452810003
233,113.17900079773598
89,113.03153517465502
93,112.94718190837462
26,112.69605831674815
24,112.67965793266184
86,112.66667551584207
90,112.06587814817578
10,111.91048459905878
230,111.64148114223647
62,111.35042253552207
92,111.27939508434787
207,111.25086707996182
210,110.94596384616116
77,110.82972894752463
169,110.77850785873107
122,110.64631434069466
68,110.38790639876231
132,110.33632479766318
250,110.29229159820808
241,110.1464320192236
152,110.14155912524797
227,110.04309048435624
235,109.90065389507981
79,108.95319940804674
177,108.7947094780572
170,108.67335183476084
179,108.24111227607182
130,108.21432145282667
17,108.16618795144356
221,107.52187339618355
151,107.43879444680599
229,107.31605420727428
38,107.25436599144861
60,106.91185148817405
226,106.88202901325919
117,106.55993283120834
6,106.30398811964295
172,105.67151260568399
119,105.5068567221357
27,105.43168166881729
224,104.87779670605092
52,104.85195521856821
7,104.60422255985551
193,104.31785817513077
66,103.9567066342845
83,103.43928607552824
49,103.02933825860433
184,102.8508364995086
187,102.75229411642475
87,102.60678581140024
63,102.31097129425801
98,101.69471964933865
30,101.45276419726845
125,101.39004424937862
143,101.0598729943855
165,100.61010981423856
256,100.22398490437753
141,100.21339622515347
102,100.14951366174309
56,99.8708682195014
176,99.83702745101206
58,99.77648382820678
19,99.41963655126838
185,99.09340897410647
217,98.86810150248702
78,98.82675078548341
136,98.69236433366878
55,97.6857274754224
74,97.41254683680367
234,97.40737922601349
238,97.14025133488052
133,96.59755914983116
70,96.22202226855565
197,95.22925914289854
16,95.2242124703498
225,95.20709814107407
108,95.02187743990542
219,94.96818634565945
20,94.88477023389008
5,94.8783456471026
173,93.37882655167707
29,93.01284526279429
208,92.98814508921829
8,92.73520390834209
137,92.24241029803535
45,92.18714122873331
212,92.12573756715139
253,91.87218242926325
53,91.71002268299847
188,91.69762189946466
194,91.45066190245866
178,91.37558528200458
1,91.34733545958524
214,91.31431104583972
97,90.15603025764575
67,90.02309300806465
107,89.89137312226418
231,89.15088188069576
258,88.8351826591016
57,87.25408020755458
252,86.51064166926865
69,84.88222745986984
192,83.42734386748045
120,80.88027065883557
244,79.81663649134298
