engine_id,MAE
112,169.7621753093749
85,161.14442531404953
88,160.65331134864493
255,158.90529081430847
118,154.3963013710494
31,152.162735168131
260,143.4347416900292
94,142.89252284960864
153,142.1980984046309
158,141.18532694520107
257,141.0198217047193
128,140.21695073746554
64,139.84464807793015
156,139.45102104832463
105,138.4104401037811
239,138.1223908379382
135,137.2744628621698
51,137.08576922423484
180,136.04349400432787
149,135.63277391520512
203,135.3947328953643
103,133.5157626551611
11,133.09787740318956
131,133.06400472277684
32,132.68590322203494
240,131.73649207611246
2,131.30701368954172
146,131.08217454164478
84,130.76426526694038
254,130.36777739259108
148,130.19845807494286
171,130.1952868968276
242,130.08628975902124
236,129.5541084090558
127,129.55158881295992
164,129.13430904928236
196,128.95785669123538
181,128.2964328494248
81,128.27782072497592
91,127.96495634025132
106,127.73501689338364
251,127.73221626610024
12,126.5851238411183
124,125.927319638944
47,124.7055210329893
145,124.6533036304932
113,124.13845253854107
228,123.8863323008296
245,123.62606158452768
218,123.35508519561253
76,123.34038982609013
248,122.81747272007549
243,122.71615018995296
42,121.80594491245003
48,121.77348713831977
157,121.59996181831426
190,121.41881377612657
134,121.41685338778558
159,121.31599341822171
75,121.11303566867436
41,121.01192717312637
4,120.83131864824432
144,120.42346722708085
216,119.74333504183973
13,119.68046094195782
232,118.74812613818439
220,118.52840854170522
121,118.46888064493857
150,118.29379638758063
167,118.2241211317261
200,118.00972197288762
206,117.70781418510506
191,117.52151574477553
215,116.98580446424644
109,116.87143283261153
161,116.72548534470764
204,116.37046203878512
73,116.33794876712365
80,116.18453792015761
39,115.92458068774252
50,115.83621201399016
123,115.02321343032423
155,114.38590127072898
61,114.16567974774358
198,114.0654360010524
223,113.07983121682064
23,112.87959277897771
147,112.76073079808599
205,112.2508702176483
18,111.87393872860396
199,111.74410061894577
168,111.73340185829548
110,111.71316639390186
249,111.69470258221976
138,111.6893482520036
82,111.46343534077133
115,111.42526783560909
104,111.2211284852689
211,111.17878332652332
142,111.01304446043238
209,110.94067466909706
9,110.88479709994118
116,110.76831227659791
140,110.7441597383347
34,110.64398535593526
237,110.62487203638368
166,110.35731439147908
43,110.3420298489574
183,110.29359283690067
36,110.15280247700213
46,110.05254472896249
65,109.90064357240159
37,109.87715259370727
54,109.87038533266056
182,109.69380672159046
100,109.56526984647353
101,109.47024800678571
25,109.2073211179065
189,109.17198384633214
111,109.02011380063539
28,108.90174847563397
160,108.84570661342632
3,108.55690385112436
222,108.4332454325923
72,107.9716749419879
259,107.86197589945826
40,107.71880732283714
202,107.67799927549368
207,107.65716205646513
154,107.29482115754973
210,107.23953869744443
89,107.14949376995077
14,106.8566437344813
163,106.72047918825051
129,106.60710221015387
44,106.42628560828683
59,106.39688707463958
24,106.15881167675784
99,106.09957064877624
15,106.093184189182
93,105.84184114461534
95,105.82002599078619
213,105.69958623167001
201,105.42207026693083
26,105.36056509747267
186,105.32593747005798
114,105.13406079132093
92,104.97709432763378
33,104.82831701868696
247,104.76681565722656
71,104.54222499267506
122,104.41567569511923
35,104.36554727625732
22,104.36220703937231
86,103.85113612413326
77,103.8497060066971
162,103.71642249376282
235,103.49596375505617
126,103.34627342527622
175,103.30431754363917
96,102.9385062407448
90,102.84344135790326
152,102.62145511506876
62,102.5844995893802
79,102.37518561345095
174,102.35364584813301
139,102.3470519188604
246,101.85960096193746
170,101.80432589502641
195,101.60539424848479
250,101.15149824046492
241,101.10423384058409
227,100.84490622989205
233,100.62078228209704
229,100.51416374136045
226,100.51178973616884
169,100.43364876760481
10,100.18668791792537
132,100.14463567820087
68,100.1024140315247
172,100.09588431396412
230,100.08253425751924
179,99.94381792557874
21,99.9163489063723
66,99.85313730350762
151,99.58091391199949
221,99.54533277045017
6,99.39495305516512
130,99.23729732471872
224,98.77012970256958
141,98.697076705753
177,98.32508679225181
117,98.02088861793611
83,97.62657648118547
187,97.52746059579643
52,96.67665897684711
60,96.52881463033718
125,96.47385097641491
256,96.47148537168427
27,96.37851755380302
176,96.26029837405133
87,96.25163090015326
136,96.14201625979906
7,96.13278803126487
184,95.65351983122383
38,95.37864940319534
63,94.91158223558426
49,94.85803199224874
217,94.68054440268996
165,94.58423320060986
78,94.52239832766006
17,94.16832097140592
20,93.95134583435801
119,93.88999108126352
143,93.83192150959823
19,93.82120564756745
56,93.81287534042563
102,93.81133973046299
98,93.61288414957687
193,93.502152460036
197,93.44383577214553
55,93.22224613833394
30,93.20991920838348
185,92.97194181447206
234,92.48464106707144
238,92.39832788974256
70,92.37732472108577
133,92.36469420720415
108,92.13266941628615
29,91.97567832815209
58,91.86625707674675
16,91.24106097670287
225,91.05014890142661
219,90.24765823611739
74,90.20904340074517
253,90.02095439940939
8,89.26858934013197
1,89.16732606870427
137,88.74357219481271
5,88.38899332402815
97,88.05584537613035
107,87.78930470970776
173,87.67418965956753
188,87.42088143486976
53,87.35585085001668
214,87.11783555692644
212,86.9756713814945
208,86.75972186854176
258,84.98390871906507
45,84.95059867815948
231,84.94370984974682
194,84.52693084934974
178,83.90166796939707
57,83.60923975176154
69,83.21981221042277
252,82.01405074967633
67,81.65306133902467
192,80.97287075395026
120,79.6780709775086
244,77.52954980289381
