engine_id,MAE
96,171.00533480878778
95,170.59811344799718
69,166.41235172539305
92,163.18002738881032
67,161.426357137479
86,159.00746738926753
18,156.85839062168023
17,155.68642961362312
46,146.35993488862343
83,142.56224050109492
64,141.89821947854512
2,140.07079736968666
56,138.87719484442303
48,134.98478733981068
5,134.61478040508544
47,134.0246440745139
7,132.09456349536498
31,131.72462721365363
55,128.39100859658382
89,126.62991039114398
38,125.85119449236912
82,125.57751831960628
71,125.22249243367766
49,123.77691005711765
72,123.50686345905432
97,123.17107931633863
9,122.23570982697153
11,120.57645069327705
1,118.9320742767142
25,118.32771819328038
15,117.92756434377863
4,117.66397756803894
42,117.44666909236425
34,117.31729889573262
59,117.29761995002288
52,116.87952456513015
94,116.62308161051745
20,116.20452564064465
40,116.1459160676254
22,115.75822802766328
43,115.68382620368368
30,115.26987795587475
51,114.98810816440384
54,114.92095082977872
68,114.39706509444554
3,113.26250587492464
53,113.15136787278456
6,112.78649831158363
78,112.52984808159201
73,112.42176904028224
21,111.42251050602383
84,111.3721561505759
100,111.15034702429091
41,110.26440937612246
10,109.97534584752755
99,109.80386513629702
35,109.48173578977303
75,109.38288884595083
32,108.87089664769876
50,107.92028389172056
60,107.4404610371238
80,106.68535765771836
37,106.44244854341112
16,106.30559871211757
76,105.44115874188483
66,104.81488987110782
33,104.77838240176817
88,104.51811705945138
85,103.97966570143089
28,103.79305911382525
61,103.01630711144384
44,102.12713974139385
24,100.12441717323428
14,100.11542952387111
63,99.77100479238011
65,98.52158459769545
70,97.81665673888998
12,97.53148102876762
81,97.29274386814802
27,95.3033352547848
26,95.14608172851449
8,94.73668165089832
87,93.74672480620507
62,92.83542681617637
36,90.65567907615682
79,90.50985883912674
91,89.87668149160014
19,89.61841991273857
98,87.7925377110851
74,87.3940030422422
90,86.42427143929422
45,86.1612392850939
58,83.1773296952575
23,82.57296305060082
77,82.5060581250608
13,81.50217048769166
29,81.17179393042503
93,78.45594447134889
57,77.55575119201401
39,76.05467110856162
