engine_id,MAE
118,243.95764139221936
133,226.83819364086133
173,206.98808332843544
225,203.71677456889554
49,202.60627515768704
179,201.04506438970566
171,189.96062168033643
131,187.9914450630499
37,185.88000187180515
158,182.94903678455572
190,181.92873722423207
88,181.76222422568662
174,181.49882736923553
207,177.50948137190284
164,176.54859275006234
52,173.951432925365
184,172.1632450382884
91,171.82958222694523
47,170.4873553617501
239,170.1704601846683
215,169.16936171747022
10,169.1680881135141
151,168.60578236897786
117,167.71138324079843
71,167.05425840524526
201,165.07264108103715
48,164.40718915727405
56,163.9470125877251
112,163.00595896631788
180,162.74170413359033
18,162.1235958386774
241,160.36262862341744
1,160.12809941327131
116,158.79356948019296
6,157.63324168069022
9,157.2697046502319
203,157.1488629784776
55,155.15540103456672
65,154.09349091847739
109,154.00118091332652
46,153.57718285454644
157,153.2008703440307
108,151.5256727015077
72,151.45478209261765
243,151.30748217496006
191,150.50117445965202
126,149.875920211792
53,149.85134436867455
162,149.30348415229156
111,148.13958212404836
155,147.2914563163382
161,147.08348810105096
159,146.6591502483384
26,145.8410365201989
11,145.5018103790283
51,145.3367529812022
58,145.2771237414816
62,144.0680046081543
3,143.6626377180511
227,143.03780580885868
80,142.42780577291654
23,141.71727632747468
146,140.90525717962356
42,140.14957699505
2,140.11160838219428
144,139.65201769459003
228,139.54611627679122
233,138.91966302855676
232,138.8591228519474
140,138.1837658747005
12,138.03299713134766
106,137.86329684590186
85,137.50047222561307
163,137.46030329842853
41,137.40263050480894
149,136.65332459949312
30,136.44424899354274
208,135.73420135146904
221,135.39468881581396
96,134.97573293398506
229,134.94311621720092
132,134.7952845343228
187,134.2816463161159
31,133.93709855709434
165,132.5994706247367
34,132.5418461947971
4,132.11694596808053
128,131.11416673418228
29,130.97600166125176
249,130.65303856718774
101,130.4867536325774
100,130.07079398745583
87,129.72163106844977
206,129.65331983566284
78,129.64664803318044
152,129.38778278714133
224,129.27018915343393
14,129.13113658262952
172,128.8883854634053
166,128.67286866739255
94,127.56320240521671
125,127.38956217055625
185,127.27021785882803
244,127.12431367386219
167,127.10848786695948
20,127.0676700945982
188,126.9818252976892
134,126.97699960561899
13,126.76410663883861
95,126.68555225209987
202,126.63499802037289
97,126.44761065528506
189,126.22753697253287
103,125.43201356127084
230,125.2416563944601
223,124.88439877827962
127,124.85685340217923
205,124.18166861283152
147,123.32622815741867
74,123.0626317552952
21,122.91828517368862
139,122.35336867332458
69,121.91476564679827
218,121.3808451369002
98,120.45071720831173
216,120.27407827031428
236,119.65127462628244
35,119.61579584233901
8,119.33049352208995
200,118.89427095172049
212,118.52349253450886
177,117.33707848599083
169,117.24911109924317
137,116.72301033721573
43,116.6033611741177
7,116.60226816289565
75,116.54478330985128
86,116.20480117797851
242,116.13994441312902
15,116.1097020606774
19,116.08437844042508
145,115.71544910150733
79,115.33959131754801
247,114.66147322654724
123,114.391584211077
61,113.90763136512875
204,113.8876259803772
32,112.1417133467538
182,111.19782623687348
136,110.68607575552804
222,110.50355328877767
104,110.21774002125389
40,110.04550004774525
60,109.8662663534016
141,109.86210748311636
237,109.8194922864437
220,109.81243623097738
142,109.763403759727
234,109.46717054305537
28,108.91127647399902
22,108.85666480064393
217,108.73291619832084
193,108.00667607537632
245,107.39402287966246
213,107.12979116768672
57,106.532291613834
44,106.43885676484359
238,106.42304068671332
5,105.919885232415
154,105.91111035096019
160,105.75892755013925
39,105.67134288787842
50,105.41324763298034
148,105.22252597271556
235,105.1970534195771
168,104.69438873817181
102,104.69368246385268
24,104.4981389787462
90,104.22734453678132
226,104.19301964019562
113,104.11291293094033
33,103.96853769938151
110,103.86789974636501
248,103.73156775567764
121,103.64571103182706
92,103.55960125241961
54,103.14932532474913
73,103.12987268888034
129,102.85378453371337
82,102.5057577988197
93,102.3505303744612
83,102.28938930195973
70,102.28769823330552
183,101.75377435478376
231,101.61627598742506
81,100.99255098413538
107,100.81308766567346
38,100.72281433105469
192,100.55916389629995
119,100.53564836007577
138,100.46810543631005
120,100.43867190551758
16,100.04429926191058
64,99.91038027024807
143,99.4963773713076
219,99.20756899881707
45,99.00849559020996
59,98.67976794433594
199,98.66015533447266
122,98.61718315806816
124,98.44054069839606
178,97.81130356347862
197,97.67209990685727
66,97.3314011020045
176,96.8511185609093
99,96.50191900833794
67,96.42394087418266
153,95.9056883591872
105,95.387445209407
130,94.66188245026962
186,94.5270983661924
27,94.27485833849225
196,94.01676576505831
114,92.94256069876931
246,92.60316035530784
89,92.57741575974684
68,92.14930636542184
198,91.75373809949487
195,91.74887936203568
84,91.3551066186693
63,91.03779488250989
209,90.70787407268178
210,90.66481104311735
76,90.28837427139283
170,90.20466540943492
175,89.29931157430013
240,88.79588493035764
150,88.28675480278172
36,86.21901255068572
25,86.12933995025327
135,85.9030058919167
17,84.82798227310181
194,84.51453963746415
156,84.26380183480002
211,83.84765082911441
77,83.5369668744274
181,78.80120084371912
214,77.39157134217102
115,77.08937504291535
